car_sale_id,Maker,Genmodel,Genmodel_ID,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
EA4DE491-456B-0417-5082-D9DACD6D8E6F,BENTLEY,BENTLEY FLYING SPUR,10_6,26,1,56,85,126,163,187,56,0,0,0,0,0,0,0,1,0,0,0,0
C485BF74-5335-7AEE-A433-0C82FEAE34F4,BENTLEY,BENTLEY MULSANNE,10_7,29,52,38,72,110,90,81,54,56,81,18,0,0,0,0,0,0,0,0,0
47C3815D-9EB0-3B4A-4B65-37D225CA4C6A,BMW,BMW 1 SERIES,8_1,20764,23624,22628,27044,28879,30499,29722,36583,30517,25065,27149,24467,21738,16022,14621,12155,3541,0,0,0
E0601CE0-9593-85BD-24C6-0BCAFD617879,BMW,BMW 2 SERIES,8_2,9408,14842,18884,15426,19046,15197,4376,1,0,0,0,0,0,0,0,0,0,0,0,0
DF095DF5-50C8-3CD1-7B9A-BA9EA6F49500,BMW,BMW 3 SERIES,8_5,19985,25262,25391,30716,32119,32799,34307,37365,37271,33730,32119,28532,31514,38244,29965,21106,17464,17630,13416,9056
FCA654E5-3815-9F4F-3300-2E61C601347E,BMW,BMW 4 SERIES,8_7,4540,10539,15716,17039,18612,18745,13042,1617,0,0,0,0,0,0,0,0,0,0,0,0
E3A60C28-4C07-88FF-342E-7732C0894B55,BMW,BMW 5 SERIES,8_9,8801,15789,19961,15263,15781,17442,16880,15512,15918,14663,10856,9401,9940,11657,10233,7985,5534,4039,3628,2583
D68079B0-612A-78CB-A570-680783238D5F,BMW,BMW 6 SERIES,8_11,227,1035,2288,1296,1834,2018,2077,2130,1707,667,569,645,1206,1323,1569,1457,1290,25,0,0
18845EB3-8628-27C3-13FA-C77293AE5C9E,BMW,BMW 7 SERIES,8_14,888,1458,1374,1500,1518,745,951,795,978,985,814,661,824,766,1197,739,445,486,281,393
F17320AA-1B86-87E0-34E6-59B7488B7157,BMW,BMW 8 SERIES,8_49,1864,1209,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38C389C6-A6FE-A729-8768-AE2239C43B11,BMW,BMW I3,8_27,4204,4596,3491,3056,2131,1879,1205,119,0,0,0,0,0,0,0,0,0,0,0,0
2EBA8355-4845-42D5-5222-5CCF642628D5,BMW,BMW I8,8_28,80,248,389,232,447,644,201,0,0,0,0,0,0,0,0,0,0,0,0,0
60939A22-3485-624C-4D51-84E308B9A4A9,BMW,BMW M1,8_48,3350,3921,3998,4477,2724,1498,1755,1591,318,1,0,1,0,0,0,0,0,0,0,0
4014B52B-433D-00B2-6934-B8E06C5B658D,BMW,BMW M2,8_29,2636,2604,3010,2807,2358,1502,974,0,0,0,0,0,0,0,0,0,0,0,0,0
5C1BAADB-3ED4-40D9-6C1E-7F30964B8C49,BMW,BMW M3,8_30,1583,561,855,952,777,581,238,630,746,721,623,659,1111,444,299,892,1305,1866,1188,309
8569D2B5-6844-3498-211F-EE87950F0759,BMW,BMW M4,8_31,1141,1798,2123,1925,1709,1940,996,0,0,0,0,0,0,0,0,0,0,0,0,0
6CD209D6-7160-564C-1C4D-F54728F734F4,BMW,BMW M5,8_32,393,611,140,22,404,381,490,571,374,82,11,19,82,225,265,282,1,37,153,233
BDE38BDF-678F-9668-65A4-EDF97BE69B83,BMW,BMW M6,8_33,0,0,57,135,200,203,203,118,47,1,5,14,22,52,100,133,0,0,0,0
3AD219C6-9E91-34D1-A46F-77F1FE073B5A,BMW,BMW X1,8_35,7396,13529,14626,13353,12247,4568,7873,7261,5601,6291,5212,464,0,0,0,0,0,0,0,1
62E75C75-0F47-2C59-295D-F888A81D4E4E,BMW,BMW X2,8_36,3420,6918,4880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BB802536-5DA9-4F9C-1C97-B107A5A186AC,BMW,BMW X3,8_37,7438,15773,8197,7931,8903,7001,6148,7296,7104,4370,1035,1663,2099,3331,4792,4145,3617,2,0,0
6709133C-203A-5476-8884-D451AB38869B,BMW,BMW X4,8_38,1830,3998,2064,2136,2690,2052,741,0,0,0,0,0,0,0,0,0,0,0,0,0
A40A2E34-00BE-5BB5-3A39-866120B22E04,BMW,BMW X5,8_39,5345,9055,7443,6345,6734,7306,5622,3543,4311,4405,4168,4381,3917,4410,4328,7064,4392,3655,2309,1212
88700260-1F0F-52A9-83BB-4CEDBEBD425A,BMW,BMW X6,8_41,1077,643,2114,1338,1794,1282,1404,1236,1159,809,816,1008,502,1,0,0,0,0,0,0
D0B7356D-9081-9DBF-649E-B7C66E743985,BMW,BMW X7,8_50,664,523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E1297901-81BC-2CF5-4454-DE3B80FA0295,BMW,BMW Z3,8_43,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,60,872,1459
01CBB0DA-863D-6CC7-325A-A4B3429F9A31,BMW,BMW Z4,8_45,1428,1928,0,134,1197,1561,1884,1582,1896,1885,1953,2433,1769,3172,3025,2139,3109,2585,0,0
FEDFBF06-0FE3-11D2-9386-3AA938842F89,BMW,BMW Z8,8_47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,17
6550283A-9DAD-2907-5062-9A7B6351980F,BRISTOL,BRISTOL FIGHTER,11_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
C237FAD5-761D-4F9C-A01A-9E4FFC0F0D0F,CADILLAC,CADILLAC BLS,14_1,0,0,0,0,0,0,0,0,0,0,19,59,44,90,56,0,0,0,0,0
A86CC9F2-3E66-7868-0EBC-06B3BC060FF3,CADILLAC,CADILLAC CTS,14_2,0,1,0,0,1,0,0,0,3,0,8,16,9,31,29,21,0,0,0,0
