car_price_id,Maker,Genmodel,Genmodel_ID,Year,Entry_price
273E266B-A46C-70E0-09AA-2EBF6189A1F6,Aston Martin,DBS,6_5,2008,160887
150CE3A0-1F68-0663-6B69-6EAF2B4B3A3D,Aston Martin,DBS,6_5,2009,159911
807D200B-3330-9BC8-757A-BCBEE1163658,Aston Martin,DBS,6_5,2010,171387
1DBEA667-39FA-7AF7-0AC3-5F1A1E203484,Aston Martin,DBS,6_5,2011,171387
B79121F8-15C3-10D6-82E5-CBD7942B44B5,Aston Martin,DBS,6_5,2012,171387
6585A326-82CB-9765-8F07-D45B0D6680FA,Aston Martin,DBS,6_5,2013,181699
B9C46DB9-35AC-8455-3129-C4A2E01458B6,Aston Martin,Rapide,6_6,2010,140837
00B4D026-3BDF-A08A-94E7-3DE481BE1F53,Aston Martin,Rapide,6_6,2011,145837
8D964BDF-2CBF-2C84-A21B-F2FD5B31679F,Aston Martin,Rapide,6_6,2012,146144
2D28508F-55DE-9D49-8242-52AF5571A32F,Aston Martin,Rapide,6_6,2013,146144
AA7E1C05-0622-24A0-1C77-293946704F86,Aston Martin,Rapide,6_6,2014,146144
6D97FF07-5DCF-0DBE-0B86-7C8777E95841,Aston Martin,Rapide,6_6,2015,146144
BBF28EDE-3476-5AC1-1B26-4539C8E19B52,Aston Martin,Rapide,6_6,2016,150694
F604EDF6-5D32-4459-78D1-4A4865423321,Aston Martin,Rapide,6_6,2017,150694
27921CDB-5381-A62A-6238-A9CDB4C3A733,Aston Martin,Rapide,6_6,2018,150694
DAE063EA-7166-18DC-373B-3CBFB22337D0,Aston Martin,Vanquish,6_8,2001,158711
DB5C494E-2267-257C-3D59-0D801EC01C22,Aston Martin,Vanquish,6_8,2002,158711
588B7FF5-20B2-9E4F-4614-BE222BCC83D9,Aston Martin,Vanquish,6_8,2003,158711
7DA0C084-1202-A49B-599E-D749F26150EA,Aston Martin,Vanquish,6_8,2004,164311
BCD92B80-39D1-0B31-13B3-CBD57E5141E7,Aston Martin,Vanquish,6_8,2005,164311
44544CD1-8D52-154F-902E-B84C09916EF7,Aston Martin,Vanquish,6_8,2006,164311
EDFABF10-8E62-237B-49B2-BADE741743B5,Aston Martin,Vanquish,6_8,2007,177987
0525787F-3350-4E36-8FE1-0FFBDF105DF0,Aston Martin,Vanquish,6_8,2012,189995
9127582D-22DA-2B11-4159-D82254BB6AF7,Aston Martin,Vanquish,6_8,2013,189995
DC278263-43AA-48DC-47F8-C1D6EFEB92BC,Aston Martin,Vanquish,6_8,2014,189995
25809BA5-1EED-001C-9D3C-E04BCBC094E9,Aston Martin,Vanquish,6_8,2015,189995
342A04E8-827E-A76A-37FD-0A542B47054C,Aston Martin,Vanquish,6_8,2016,195950
8DF636AB-4E22-7C4C-785E-80AE43303089,Aston Martin,Vanquish,6_8,2017,195950
BC833CBC-9E9F-9170-A2CD-43E387BF1BAE,Aston Martin,Vanquish,6_8,2018,198945
ABC4B2D3-69C5-2AD1-441D-7C3E0F8F3801,Aston Martin,Vantage,6_9,2005,80706
024ADE6F-24EE-3549-7673-7AF753BE62D5,Aston Martin,Vantage,6_9,2006,80706
D0A2E5E5-3668-503D-525B-81D7E9F33ED9,Aston Martin,Vantage,6_9,2007,83687
DB0BE796-7958-113C-29AC-508B307D2098,Aston Martin,Vantage,6_9,2008,83887
F7285D58-0D10-0B1C-039A-89843B39334B,Aston Martin,Vantage,6_9,2009,82102
E70EC86C-5922-2FB3-66D8-0B70366D18D2,Aston Martin,Vantage,6_9,2010,89882
ADFE7F27-58D1-0C1E-4F8A-26AAECC25D09,Aston Martin,Vantage,6_9,2011,89882
E747CE83-9568-9534-03AB-331E8FDD111A,Aston Martin,Vantage,6_9,2012,86189
6875AE3F-3549-95D9-3AC1-87B3E0630C42,Aston Martin,Vantage,6_9,2013,86189
973CD304-3E47-78D6-82F3-9CA67E893439,Aston Martin,Vantage,6_9,2014,86189
24F162BC-13AD-13C3-71AE-E4DB0FEE5EC7,Aston Martin,Vantage,6_9,2015,86189
3B6C67DE-2D27-8D11-391C-0BCEA1D73719,Aston Martin,Vantage,6_9,2016,88689
00EAAB2C-918C-112A-1559-DBF4080B48BD,Aston Martin,Vantage,6_9,2017,88689
A08330DE-8190-2EF4-6809-974696AF0BD3,Aston Martin,Vantage,6_9,2018,120900
01CBF017-67CE-85A4-2C9B-1F43CEA7453B,Audi,A1,7_1,2010,13090
C942B02B-7066-1944-6DAF-D27D1DEA3683,Audi,A1,7_1,2011,13090
6FF99913-29AC-2902-9E94-4AACC91C1064,Audi,A1,7_1,2012,13365
5A7655F9-5778-1109-A678-256BDC734C9A,Audi,A1,7_1,2013,13585
D2E32CEB-5E1A-0645-78E9-A9528FE908F0,Audi,A1,7_1,2014,14060
